Phylum,学名,图片,标签,简介,详细介绍
bryozoa,苔藓动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492707189003&di=717df0c291d90efd1cccee37be514cf3&imgtype=0&src=http%3A%2F%2Fwww.zjhaigao.net%2Fbio%2Fswtd%2Fdongwu%2Ftaixianchongdongwumen%2Fimages%2F1-a2.jpg,自然 生物物种 动物,苔藓动物门（Bryozoa）动物界的一门，为真体腔动物。因肛门开口于触手冠之外，故有外肛动物门之称。已描述约2万种，其中现生种约占1/5。,苔藓动物门为群体，营固着生活，外形似苔藓植物，故名。大多数生活在温带海域，少数淡水产。群体的每个个体很小，不及l毫米。外被一由外胚层分泌的角质或钙质的虫室；个体头部不明显，前端体壁外突，于口周围形成圆形或马蹄形物，其上生有触手，触手具纤毛，这是触手冠，称为总担，为摄食器官。肛门开口于总担的外侧，故名外肛动物Ectoprocta。雌雄同体，通常以出芽生殖。现存种类约4000种，化石种有15000种。可分为2纲：被唇纲和裸唇纲。海产苔藓虫在船底及一些设施上形成特定的生物群落，造成不同程度的危害，阻碍养殖生物的生长发育，使产量下降。苔藓动物绝大多数都生活在海洋中 。多栖息在大陆架浅海。一般都固着在坚硬的附着基上，少数种类借附着机构定着于泥沙中。摄食水中的悬浮物。苔藓动物摄食水中的悬浮物。当触手冠伸出体外时，触手即伸展成触手钟，含有食物颗粒的水从触手冠上部进入触手钟内，然后聚集在口的上部，进入富有弹性的咽内，借咽的突然膨胀，吸入胃内。
cycliophora,环口动物门,http://h.hiphotos.baidu.com/baike/w%3D268%3Bg%3D0/sign=065047365dee3d6d22c680cd7b2d0a1f/d0c8a786c9177f3e3064a89c74cf3bc79e3d56ca.jpg,自然 生物物种 动物,环口动物门（微轮动物门），一类水生动物，身体长度小于0.5毫米，寄生于龙虾体内。,它们身体呈囊状，在生命周期的不同阶段具有不同的形态。环口动物发现于1995年，由于该类动物的特殊性，被列为单独的一个门。环口动物与轮形动物可能是近亲。
entoprocta,内肛动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706943643&di=db4955628efb4b0fd49a3e8e06dd0286&imgtype=0&src=http%3A%2F%2Fimg.mp.itc.cn%2Fupload%2F20161020%2F1abaa69035034ccc9999d34517e99ebb_th.jpeg,自然 生物物种 动物,内肛动物门（学名：Entoprocta）是动物界的一个门。分类上曾一度把它们与外肛动物门合称为苔藓动物门（Bryozoa）。后来发现内肛动物为假体腔动物，而外肛动物为真体腔动物，现行分类已将这两类动物独立成门。,内肛动物大约有150多种，绝大多数体型不超过5mm。 内肛动物门，水生无脊椎动物，分布于全世界，主要见于海洋生境。有少数生活于淡水。内肛动物为单体或通过出芽方式形成相互交通的群体；其中，每个个体称为个员，高仅0.4～0.5毫米，有一条柄，可以互相结合，柄可附着在贝壳、海草或其他会产生水流的动物，如海绵、苔藓动物、水螅和环节动物上。身上有一个球状的头部（萼），其中包容一个U形的消化道以及神经、排泄和生殖系统。具纤毛的触手排成冠状，用以产生水流，将食物颗粒送入位于中央的口部。营群体生活的各类常将萼总抛弃，然后再生。营单体生活的种类可以生出子芽，子芽成熟后脱离母体。虽然内肛动物的幼体及其早期发育方式表明内肛动物可能与环节动物和与环节动物近缘的门有遥远的亲缘关系，但无证据表明内肛动物与任何门的动物为近缘。
rotifera,轮虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706841914&di=6bba4c008a7d11b04f56624924230b5f&imgtype=0&src=http%3A%2F%2Fa0.att.hudong.com%2F87%2F62%2F01300000931071128140623343324.jpg,自然 生物物种 动物,轮形动物门（学名：Rotifera），又称轮虫动物门，是动物界的一个门。是主要生活在淡水中的小型动物，约有1800种左右。轮形动物在假体腔动物中是相当繁盛的一类。,身体短圆，有明亮的壳，两侧对称，身体的后端多数有尾状部；前端有一纤毛盘，具有运动功能；纤毛摆动时状如旋转的轮盘，所以得名；咽内具有咀嚼器，无真体腔。
acanthocephala,棘头动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705683995&di=2ba0995797a04f1502c067060d368bb4&imgtype=0&src=http%3A%2F%2Fa2.att.hudong.com%2F05%2F54%2F01300538077160139058547664416_s.jpg,自然 生物物种 动物,棘头动物门是动物界的一个门。是一类身体前端有吻，吻上有钩刺的假体腔动物。,棘头动物属于寄生动物，吻上的钩刺用来抓住它的寄主的肠壁。它们具有复杂的生命周期，涉及到若干寄主，包括无脊椎动物、鱼类、两栖类、鸟类和哺乳类。大约只有700种。
micrognathozoa,微颚动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705743398&di=b5ac03d496f2444561699f13cf368700&imgtype=0&src=http%3A%2F%2Fimgsrc.baidu.com%2Fbaike%2Fpic%2Fitem%2Fe824b899a9014c08d0a77d3e0a7b02087af4f489.jpg,自然 生物物种 动物,微颚动物门(Micrognathozoa)是1994年发现的一个门。目前只有一种动物Limnognathia maerski，由丹麦科学家在格陵兰北部的迪斯科岛地区的泉水里首次发现。,它被归入扁形动物超门。其身体小于1mm。颚的构造复杂，作为觅食工具通过过滤水流而获得食物。单性生殖。生活在严寒环境。
gnathostomulida,颚胃动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626877319&di=5b563d58dad80e1704393dffd406c26c&imgtype=0&src=http%3A%2F%2Fb.hiphotos.baidu.com%2Fbaike%2Fpic%2Fitem%2F29381f30e924b899f89087c76e061d950b7bf6a5.jpg,自然 生物物种 动物,颚胃动物门（学名Gnathostomulida）是动物界的一个门。这类无体腔的动物体型很小，生活在浅海细砂间，于1956年发现。目前已记录了18个属，大约有100种。,颚胃动物门（学名Gnathostomulida）是动物界的一个门。这类无体腔的动物体型很小，生活在浅海细砂间，于1956年发现。目前已记录了18个属，大约有100种。
procoelomata,原腔动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492627011261&di=d0a7fdcb8f1b893e2f4cad19a37cfa84&imgtype=jpg&src=http%3A%2F%2Fimg4.imgtn.bdimg.com%2Fit%2Fu%3D1081391055%2C2980992606%26fm%3D214%26gp%3D0.jpg,自然 生物物种 动物,原腔动物门(Protocoelomata)：原腔动物又称假体腔动物或线形动物，是一类宠大而复杂的动物类群，种类达18000多种，形态差别很大，并且他们的发展历史不详，亲缘关系不明，但他们都有假体腔。,"1，具有原体腔（假体腔pseudocoelomate，初生体腔）1）概念：它是指体辟内侧中胚层和肠壁外侧内胚层之间的空腔，是囊胚腔的剩余部分.2）特点：①只有体壁中胚层，无肠壁中胚层②假体腔直接与肌肉为界，无中胚层形成的体腔膜和肠系膜③是一封闭的腔，充满体腔液.3）生物学意义：①体腔的出现，促进肠道与体壁独立运动②使内腔器官具有稳定内环境.原体腔的含义，特点，生物学意义是这章的重点！！2，体形圆柱形，体不分节，无明显头部，外覆角质膜.3，具完全消化系统：口→食道→中肠→直肠→肛门4，还未有专门的循环系统和呼吸系统：体腔液的流动起循环作用；体表呼吸，寄生种类厌氧呼吸.5，原肾管型的排泄系统：管型或腺型线虫的排泄器官属于原肾型，而结构不典型，是由腺型细胞或由细胞形成的管完成排泄功能.原始的种类只有1—2个大型的腺细胞进行排泄及水分调节，也称肾细胞（renette cell).另一些种，腺型肾细胞延伸成管型排泄器，多呈H型管.6，筒状神经系统：神经系统简单，由神经环，纵神经干，神经节构成，呈筒状."
nemertea,纽形动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705802202&di=20e170219708c340ccdb3430e0966c61&imgtype=0&src=http%3A%2F%2Fi3.qhimg.com%2Ft01e06e0c697c96c909.jpg,自然 生物物种 动物,纽形动物门是动物界的一个门。是一类具吻的长带形动物，绝大多数为海洋底栖生活。,与扁形动物一样，纽形动物也是两侧对称、三胚层、无体腔的动物，但具有完整的消化道（即有口和肛门）、无心脏的循环系统、一个捕食及防卫的可伸缩的长吻，多数种类为雌雄异体，说明纽形动物较扁形动物更为进化，因此现行分类系统中都将纽形动物独立成一个门。
hyolitha,软舌螺动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705830307&di=0bb3e02b8e2ddea1363730bf4283d046&imgtype=0&src=http%3A%2F%2Fimages.hdzc.net%2Fuploadfile%2F2017%2F0116%2F20170116030212774.png,自然 生物物种 动物,软舌螺动物（学名：Hyolitha）是一种从古生代开始出现的神秘动物，具有小圆锥形的螺壳。,"这些物种目前都已全部灭绝；其化石一般只能保存锥壳、口盖和附肢三个部分，外壳为钙质成分，两侧对称。根据形态学的分类，本物种是一类海生有壳的无脊椎动物，但再具体一点的分类众说纷纭：一种意见认为它是软体动物门之下的一个纲，另一种意见则认为它与软件动无本质上的联系，应属一个独立的门。近期以软组织化石分析发现软舌螺动物具有触手冠 (Lophophore) 这种进食器官，指出软舌螺动物其实应该独立为一门，而且和包含腕足动物门在内的触手冠动物 (Lophophorata) 较相近。软舌螺动物的碳酸钙质外壳很大可能是由霰石组成[6]。 有口盖保护，还有两条又名海伦体的弯弯附肢（helens）去支撑身体，以边缘增生的形式成长[6]。 体长一般在一公分到四公分，横切面呈三角形或椭圆形。部分物种有环纹或条纹。"
annelida,环节动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492708187144&di=728200d2bf7a1013d78b1c19e61ceeee&imgtype=0&src=http%3A%2F%2Fwww.pep.com.cn%2Fczsw%2Fjshzhx%2Fjxzt%2Fbnjsc%2Fxxdwhhjdw%2Fjxfz%2Fjcct%2F201409%2FW020140928372866942963.jpg,自然 生物物种 动物,环节动物门是动物界的1个门，该门动物为两侧对称、分节的裂生体腔动物，有的具疣足和刚毛，多闭管式循环系统、链式神经系统。目前已知的环节动物约有13000种。,"环节动物的消化道由口，咽，食道，腺囊，肌肉胃，中肠和肛门组成。循环系统由心脏，腹背两套血管和滋养器官的小型侧边血管组成。身体细长蚯蚓每一个体节里有两个后肾管，它们负责收集前一体节的体液。体液通过肾孔流到下一体节，途中经过盘曲的肾管，直到膀胱。然后通过肾孔排出体外。终尿里面是含氮的物质。而无机盐则会被肾管上皮重吸收回到血液。为了平衡通过皮肤吸收的水分，蚯蚓的尿液会稀释得很厉害。蚯蚓每天可排出约体重的60%稀薄尿液。后肾管被腹膜“绑”着固定于体腔壁上。环节动物的繁殖能力非常强：体节的分离和出芽生殖的无性生殖。但有性生殖也很重要。多毛纲的动物大多是雌雄异体。而原环虫纲则是雌雄同体。"
pogonophora,须腕动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705862714&di=0169474b1a282154cce50b84fd946b5f&imgtype=0&src=http%3A%2F%2Fgenshuo.net.cn%2Fbook_cover%2Fbd11319047.jpg,自然 生物物种 动物,须腕动物门（Pogonophora）是动物界的1门，该门动物是一类海生、非常长的蠕虫形的后生动物，最长可达36cm；是唯一没有口和消化管的非寄生三胚层无脊椎动物。,"细长触手是须腕动物门的主要鉴别特征，须腕动物与其他动物类群的触手不同之处在于它们具有微小的羽枝，这些羽枝系由单一的表皮细胞延长而成，具有吸收营养物质的功能。须腕动物栖居在几丁质-硬蛋白构成的栖管内。管垂直插于海底淤泥或其他沉淀物里，部分管露出泥外。栖管外表细如玉米须或较粗；大多数属的栖管具褐色或黄色的色带。动物身体细而长，其多数种类的宽度（直径）不到1毫米，但体长却为体宽的100倍以上。须腕动物的真体腔和许多成虫的形态特征，表明它们与半索动物有亲缘关系。四部分①触手区，系动物体的前部（前体），具细长的触手，触手由圆形或三角形的位于触手区背面的头叶基部腹面伸出，从单一的螺旋形触手到多达200根以上排列成螺旋形圆柱体的触手。②系带区（中体），又称腺体区，位于触手区和生殖区（后体）之间，较短，其主要功能是分泌几丁质-硬蛋白构成栖管，在腹面有几丁质系带，当虫体以栖管前端伸出时，系带可依附在管壁上以支持虫体的活动。③生殖区，又称躯干部，极长，位于系带区之后，具许多外乳突和其他几丁质附着构造。④尾体，系动物体后末端的分节区。尾体系由5～23个体节构成，内部具隔膜，外部具刚毛，与环节动物的体节相似。尾体及其刚毛的功能可能是使动物锚定在栖管内，并有助于动物在海底淤泥中凿穴活动。尾体结构脆弱，当动物被外力拉于海底淤泥时，易与动物体断开而留在海底。须腕动物系雌雄异体；生殖孔的位置是其唯一的性别特征。生殖腺成双，圆柱形，位于生殖区的侧面。雄生殖孔开口于生殖区靠近系带区腹面的生殖突上，雌生殖孔开口于生殖区的中部。雄生殖管的末端部分把精子收集在精荚内；精荚具长尾。须腕动物的精子运输过程至今尚未观察到，但已知西伯加虫属的精荚是以触手运送至栖管管口的。受精过程尚未观察到，但在雌虫栖管内发现了发育的幼虫。卵子在雌虫栖管内孵育。卵子两侧对称；卵圆形或椭圆形，富含卵黄。卵裂方式是由辐射型或螺旋型发展而来的两侧对称型。无囊胚腔，以外包法形成原肠腔。从栖管收集到的后期胚胎具许多卵黄和两个纤毛环带。幼虫活动能力小，在附着以前一直呆在母虫栖管内。至于幼虫离开母虫栖管后，究竟借水流漂浮或是立即下沉到海底，尚不清楚。大多数须腕动物都栖息于海底淤泥中，生活在直立的栖管内。它们通常密集成群；有时数量多达每平方米200条。极少数种在烂木或其他碎屑间构筑栖管。栖管很长，一般长达10～85厘米，有的甚至超过2米。在栖管管壁上，常有腔肠动物、海绵和苔藓虫等附着。须腕动物几乎全为深水生物，其栖息深度均在100米以下，个别种能分布于深达9735米的海沟底，在高纬度地区常栖息于较浅的水域，而在低纬度地区则生活于深海海沟内。大多数须腕动物都分布于大陆坡以及大的岛屿周围，这和它们的营养方式密切有关。须腕动物可以从栖息地周围的淤泥中吸收溶解的有机质，因此须腕动物分布最多的海区，经常有大量的有机质；而这些有机质与海流的流向、流速和底质有着密切的关系。"
vestimentifera,前庭动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706799641&di=059d1ea0048712d09874410e72384af9&imgtype=0&src=http%3A%2F%2Fp2.qhimg.com%2Fdmsmty%2F350_200_%2Ft01ecb6fb7bb3a4a22c.jpg,自然 生物物种 动物,暂无简介,暂无简介
echiura,螠虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705904104&di=ac3330a8afef1eae0dc13882fe9450ea&imgtype=0&src=http%3A%2F%2Fd.hiphotos.baidu.com%2Fbaike%2Fw%253D200%2Fsign%3D35898ebdb9014a90813e41bd99763971%2F63d0f703918fa0ec23645502269759ee3d6ddb19.jpg,自然 生物物种 动物,螠虫动物门（学名Echiura）是动物界的一个小门，是一类生活中海洋中的底栖动物，主要生活在浅海的泥沙中、岩石缝中以及珊瑚礁或贝壳中穴居。目前已知的种类约有150种。,"螠类体长在15mm—500mm之间，多数不超过10cm，呈柱形或长囊形，身体由吻及躯干部组成，如螠（Echiurus）,吻是身体前端的扁平形突出物，实际是其头叶，与环节动物的口前叶同源。吻不能缩回躯干内，其边缘向腹面卷曲，中央形成一口道（gutter），表面具纤毛。吻的基部边缘愈合，围绕口形成一漏斗形。吻的端部呈铲状，但有的种吻端部呈双叉型，如叉螠（Bonellia）。吻的长度变化很大，一般短于躯干的1/2，但有的种吻极长，如叉螠躯干长8cm，而其吻可长达1m，一种日本螠（Ikeda）体长40cm，而其吻长1.5m，吻用以取食。身体一般呈淡灰色或褐色，某些种呈绿色、玫瑰色、或呈透明状。躯干部呈圆柱形，表面光滑，或散布有大量的乳突，或乳突成环状排列。乳突分泌的粘液可形成穴道。躯干部前端腹面具有二枚大的弯曲的刚毛，有的种尾端也有1—2圈小刚毛，这些刚毛也来自刚毛囊，并有肌肉控制其运动，用这些刚毛固着身体及清洁穴道。螠虫的体壁结构相似于环节动物，体表有薄的角质层（吻沟中没有），上皮细胞基部有色素颗粒，肌肉排列成片状或束状，其纵肌纤维发达。体腔发达，位于躯干部形成一宽阔的腔，周围有体腔膜，吻部有一些管或腔隙，与躯干部的体腔有隔板相分，但体腔液是相通的。从发生上看，吻部的腔隙来自胚胎期的囊胚腔，而躯干部的体腔来自中胚层形成的真体腔。体腔液中含有球形的体腔细胞，细胞中含有血红蛋白或色素颗粒。"
sipuncula,星虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492705935821&di=f601a196b9b177069cd88e5ec8e3ea01&imgtype=0&src=http%3A%2F%2Fwww.sznews.com%2Ftech%2Fimages%2Fattachement%2Fjpg%2Fsite3%2F20120329%2F001558d90b3310de043100.jpg,自然 生物物种 动物,星虫动物（学名：Sipuncula或Sipunculida）是海洋底栖的对称无环节动物，分布与生活环境及生活方式与螠类相似。,星虫动物（学名：Sipuncula或Sipunculida）是海洋底栖的对称无环节动物，分布与生活环境及生活方式与螠类相似。根据不同的分类或估计方式，现时本门物种从144到300种不等。比较知名的物种有：土钉虫和方格星虫。 星虫动物的学名Sipuncula的意思就是“小型的虹管”。 动物界的一个门，现时基于分子生物学的研究，可能会放到环节动物门之下成为一个“亚门”。
phoronida,帚虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b10000_10000&sec=1492695904&di=c96f87b476bb3c95579aca1d6db514af&src=http://y0.ifengimg.com/cmpp/2014/08/04/08/3c626f04-ca37-4b5f-b774-24fc6ddd0804.jpg,自然 生物物种 动物,帚虫动物门（Phoronida)全部生活在热带和温带海底泥沙中，管栖。本门现存仅10种左右，身体蠕虫状，体长由数毫米到30CM不等，以触手取食，当受到刺激后，触手等全部缩入管中。,帚虫动物门体呈蠕虫状，长6～200毫米。管栖，管子由上皮分泌，成分为几丁质。全部生活在浅海海底泥沙中，上端外露。体前端具一马蹄形总担，由内外两行具纤毛的触手构成，围绕着口。口为横裂状，位两列触手之间；消化管U形，肛门在总担基部，口的一侧。次生体腔，被一稍斜行的隔膜分为前后两部，前部为体腔，后部为后腔，后腔又为背、腹、侧肠系膜隔成4个纵室。闭管式循环，无心脏，背、腹血管可以收缩。红血细胞含有血红蛋白。具后肾管一对，口形兼作生殖导管用。肾孔开口于肛门附近。多数种类雌雄同体，少数雌雄异作。雌雄同体种类的卵巢位侧血管的背侧，精巢位腹侧。卵裂有各种形式，有的为螺旋式卵裂，个体发生中经一似担轮幼虫的辐轮幼虫。神经系统简单，口后有一上皮内神经环，由此发出神经至身体各部。
brachiopoda,腕足动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706063229&di=77c5325f7b76b5efa842a25da7992298&imgtype=0&src=http%3A%2F%2Fimgsrc.baidu.com%2Fforum%2Fw%253D580%2Fsign%3D674b8d5577094b36db921be593ce7c00%2F3b6495cad1c8a7869ff139846609c93d72cf50df.jpg,自然 生物物种 动物,腕足动物门（学名：Brachiopoda）是动物界的一个门，属于底栖、有一对硬壳的触手冠海产动物。,介壳两枚，大小相等或不等，掩盖背腹两面；介壳的形状和饰纹以及内部器官的构造，是鉴定腕足纲属、种的依据；身体柔软、左右对称；头顶有突出部；上生许多触手，称为“腕足”；消化道呈U字形弯曲，常缺少肛门；具有体腔和后肾。腕足动物的分类有其独特的不同之处：现时腕足动物的现存物种与化石物种有着不同的特色。其化石物种的外形变化很大，但其外壳只有少量特征；而现存物种的外壳变化不大，反而其软件及外壳均各有特征。若我们只专注于其中一类特征，均不能把另一类好好的分类。本门动物也经历了显著的趋同进化和逆转演化（这使较新的组别损失了原来在中间组别出现的特色，又或回复了原来只在较旧的组别出现的特点）。
mollusca,软体动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706093302&di=4dd1bfd2fff880ccaa9adaa6b5314e6f&imgtype=0&src=http%3A%2F%2Fpic.58pic.com%2F58pic%2F15%2F34%2F69%2F05K58PICXmB_1024.jpg,自然 生物物种 动物,软体动物（Mollusca）是三胚层、两侧对称，具有了真体腔的动物。,软体动物的真体腔是由裂腔法形成，也就是中胚层所形成的体腔。但软体动物的真体腔不发达，仅存在于围心腔及生殖腺腔中。软体动物在形态上变化很大，但在结构上都可以分为头、足、内脏囊及外套膜4部分。头位于身体的前端，足位于头后、身体腹面，是由体壁伸出的一个多肌肉质的运动器官，内脏囊位于身体背面，是由柔软的体壁包围着的内脏器官，外套膜是由身体背部的体壁延伸下垂形成的一个或一对膜，外套膜与内脏囊之间的空腔即为外套腔。由外套膜向体表分泌碳酸钙，形成一个或两个外壳包围整个身体，少数种类壳被体壁包围或壳完全消失。这些基本结构在不同的纲中有很大的变化与区别。软体动物具有完整的消化道，出现了呼吸与循环系统，也出现了比原肾更进化的后肾（metanephridium）。
chaetognatha,毛颚动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706124820&di=dfde9c96076c7e5e1ee6dba862142ebf&imgtype=0&src=http%3A%2F%2Fh.hiphotos.baidu.com%2Fbaike%2Fs%3D220%2Fsign%3Ddb8f55e597dda144de096bb082b6d009%2Fe1fe9925bc315c60e3f09a198db1cb13485477db.jpg,自然 生物物种 动物,毛颚动物是动物界的一个小门，以前认为是后口动物中的一个小分支，现在的研究发现可能不属于后口动物，总共只有50种，都是海洋生活的小型动物。,"毛颚动物是动物界的一个小门，以前认为是后口动物中的一个小分支，现在的研究发现可能不属于后口动物，总共只有50种，都是海洋生活的小型动物。除锄虫属毛颚动物为底栖生活之外，其余的都是浮游生活，它们在海洋浮游生物中占有重要的地位。不同的毛颚类动物在海洋中的分布受温度、纬度及盐度的制约，但有相当部分种类的分布是世界性的，热带海洋中的分布最为丰富。"
acoelomorpha,无腔动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706178524&di=53fda690a3a8276d9d1217e1d279cace&imgtype=0&src=http%3A%2F%2Fwww.nigpas.cas.cn%2Fkxcb%2Fkpwz%2F201102%2FW020110211496408637660.jpeg,自然 生物物种 动物,无腔动物门（学名Acoelomorpha）是动物界下一受个争议的门。它们拥有像浮浪幼体的特征，以往被认为是属于扁形动物门，但有学者将它们成立为两侧对称动物下独自的门。,"经过miRNA分析结果，若按照亲缘分支分类法应分类于后口动物之下。无腔动物门差不多完全是水生的，栖息在沉积物中，游泳像浮游生物或在藻类上爬行。它们有平衡囊，可以帮助它们平衡。柔软的身体令学者很难将它们分类。无腔动物门非常细小，只长2毫米以下，没有消化道。消化是由合胞体产生的液泡来包围吞下的食物。液泡是没有上皮组织细胞围堵，不过有时会在口部会有咽连接液泡。所以它们的身体是实心的。无腔动物门在很多方面都很像扁形动物门，但其构造更为简单。它们像扁形动物门役没有循环系统、呼吸系统或排泄系统。它们没有真正的脑部或神经节，只在表皮下简单的神经网络。这个网络在前端略为密集。感官器官包括平衡囊，一些会有非常原始的单眼来感应光线。无腔动物门是雌雄同体的，但没有性腺，也没有雌性的繁殖系统。配偶子是由间叶细胞所生产，间叶细胞充满了它们表皮及消化液泡之间的身体。"
xenoturbellida,异涡动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492627281923&di=9e153da617cc7f0477c2abc1319aa851&imgtype=0&src=http%3A%2F%2Fp3.qhimg.com%2Fdr%2F250_500_%2Ft0110b88338475ffbbb.jpg,自然 生物物种 动物,"这种生物早在1949年就被发现了，不过，那时它被认为是一种原始的涡虫。此后也有研究认为这是一种软体动物(Noren & Jondelius,1997)，不过它的身体构造却与软体动物有极大的差异。"," 直到2003年根据DNA研究的结果，异涡虫被确认为一类独立的后口动物，并确认其主要以软体动物的卵为食品，正因为如此，导致大量软体动物的DNA混入其标本中，从而导致此前被误认为是软体动物。经过更加详细的研究后，建立了仅有异涡虫的异涡动物门（Bourlat et al., 2006）。异涡虫根据18S rRNA被分在后口动物基部。长度约为4厘米，身体呈两侧对称。身体结构简单，其没有大脑、消化道、排泄系统和性腺（但在囊中有配子、卵子和晶胚产生。具有扩散神经系统和纤毛。异涡动物门下仅有1属2种，在瑞典、苏格兰、冰岛和挪威的附近海域有发现。"
vetulicolia,古虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1493300941&di=562eda7f1a2b5f18500957acab6d7ac0&imgtype=jpg&er=1&src=http%3A%2F%2Fa4.att.hudong.com%2F58%2F96%2F01300000209999121686964801880.jpg,自然 生物物种 动物,古虫动物门（Vetulicolia）是一个已经完全灭绝的动物门类，在分类学上可能属于后口动物的基部，包括十几个来自寒武纪的化石种。古虫动物门是由中国西北大学与地质大学的舒德干教授等人于 2001 年建立的。,"古虫动物基本特征是躯体分节，并由前体和后体两部分组成。前体为消化道的前段（咽部），口开于前体前端，背区和腹区由5对鳃囊构造组成的鳃区所分隔；后体(尾部)为消化道的后段（即肠部），肛门末位。绝大多数古虫类动物的后体由7节甚至更多的体节构成。有些种类的后体有不同程度的硬化。古虫动物都具有背区和腹区的分化、5对鳃囊和鳃裂构造等基本身体构造，根据后体构造不同，可分为古虫纲（Vetulicolida Chen & Zhou, 1997）、斑府虫纲（Banffozoa Carson, 2006）、异形虫纲（Heteromorphida Shu, 2005）。"
homalozoa,海果动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492627355972&di=e430aaa1d0468a3ee7282fdff7c48128&imgtype=0&src=http%3A%2F%2Fi.ssimg.cn%2Fsscms%2F2013%2F07%2F28%2F7dd6dd759ead421d9b10651674220814.jpg,自然 生物物种 动物,海果类动物形态独特，壳体背腹扁平，形状不规则，缺乏对称性，或可呈两侧对称。多具腕或腕突，后端具一长短不等的茎尾，水管系统不明。,海果类动物形态独特，壳体背腹扁平，形状不规则，缺乏对称性，或可呈两侧对称。多具腕或腕突，后端具一长短不等的茎尾，水管系统不明。可能为平卧海底生活，以茎尾锚定。海果类动物的奇特之处在于它们完全不对称。这种动物是海胆的远亲，3.5亿年到5亿年前生活于北半球的海洋之中。一些科学家认为，它们看起来像是畸形的带壳蝌蚪。海果类动物可能是脊椎动物的祖先。
echinodermata,棘皮动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706976400&di=854568df56702886471d4b16b4495d05&imgtype=0&src=http%3A%2F%2Fwww.uua.cn%2Fuploadfile%2F2014%2F0421%2F20140421015344355.jpg,自然 生物物种 动物,棘皮动物门是动物界的一门。这个门从寒武纪出现，总共有20000多种类，现生种约5000余种。除现生5纲外，另有15纲之多，皆为海生动物，无陆生或淡水种类。常见的海胆与海参皆属于此门。,"棘皮动物是后口动物。它们的原肠胚孔形成肛门，而口部是后来形成的。它们有特殊的五体对称步管结构。棘皮动物的次生体腔发达，是由肠体腔（enterocoele）发育形成。由于棘皮动物在胚胎形成方式及DNA序列上与脊索动物相似，被认为是包括人在内的脊索动物的近亲。棘皮动物特有的结构是水管系统和管足。刚出生的棘皮动物是两边对称的。成长期间，左边增大而右边缩小，直到右边被完全吸收了，然后这一边长成五倍辐形对称形状。"
